Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
เดินCheckSheetได้กลิ่นHCCบริเวณF-760Bทำการหาจุดต้นกำเนิดกลิ่นใช้SoapTestหาจุดLeakพบPT-Leak,"Walk to CheckSheet, smell HCC around F-760B, find source of smell, use SoapTest to find Leak, find PT-Leak.",OCU,MOC (OPE),Near Miss,Process & Operation,เดินCheckSheetได้กลิ่นHCCบริเวณF-760Bทำการหาจุดต้นกำเนิดกลิ่นใช้SoapTestหาจุดLeakพบPT-Leak,"Walk to CheckSheet, smell HCC around F-760B, find source of smell, use SoapTest to find Leak, find PT-Leak."
C-SleakHighPressureSteamtempองศา,C-SleakHighPressureSteamtemp degree,Olefins2,MOC (OPE),Near Miss,Process & Operation,C-SleakHighPressureSteamtempองศา,C-SleakHighPressureSteamtemp degree
FOเจ้าของพื้นที่Patrolcheckหน้างานพบFoundationsupportlinebypassTV-Sdamage,FO Area Owner Patrolcheck The event page found FoundationsupportlinebypassTV-Sdamage.,Olefins2,MOC (OPE),Near Miss,Process & Operation,FOเจ้าของพื้นที่Patrolcheckหน้างานพบFoundationsupportlinebypassTV-Sdamage,FO Area Owner Patrolcheck The event page found FoundationsupportlinebypassTV-Sdamage.
FORoutinechecksheetพบสายสัญญาณCT-SNDEเกิดความเสียหายความร้อนSteamSSTurbineสายสัญญาณที่เกิดความเสียหายมีเส้นซึ้งเป็นสายสัญญาณสั่งTRIPCT-Sได้แก่VYE-SBเป็นสายสัญญาณวัดTURBINERADIALVIBRATIONHIGHTRIPCT-Sการทำงานคำสั่งtripใช้การโหวดสายสัญญาณVYE-SBเสียหายMonitorส่งผลทำให้BMใช้ค่าที่วัดสายสัญญาณเส้นดูConditionTurbineกลับเหลือประสิทธิภาพการMonitorลดลง%เป็น%คำสั่งTripทำงานในขณะนั้นเกิดUpsetConditionมีความเสี่ยงคำสั่งTRIPCT-Sทำงาน,"FORoutinechecksheet found CT-SNDE signal cable thermally damaged SteamSSTurbine damaged signal line has a command line TRIPCT-S i.e. VYE-SB is a measurement signal TURBINERADIALVIBRATIONHIGHTRIPCT-S The trip command is used to vote the signal line. VYE-SB Monitor is corrupted, causing BM to use the measured value of the signal line. See ConditionTurbine returns to monitor performance reduced by % to %. Trip command runs while UpsetCondition is at risk, TRIPCT-S command runs.",Olefins2,MOC (OPE),Near Miss,Process & Operation,FORoutinechecksheetพบสายสัญญาณCT-SNDEเกิดความเสียหายความร้อนSteamSSTurbineสายสัญญาณที่เกิดความเสียหายมีเส้นซึ้งเป็นสายสัญญาณสั่งTRIPCT-Sได้แก่VYE-SBเป็นสายสัญญาณวัดTURBINERADIALVIBRATIONHIGHTRIPCT-Sการทำงานคำสั่งtripใช้การโหวดสายสัญญาณVYE-SBเสียหายMonitorส่งผลทำให้BMใช้ค่าที่วัดสายสัญญาณเส้นดูConditionTurbineกลับเหลือประสิทธิภาพการMonitorลดลง%เป็น%คำสั่งTripทำงานในขณะนั้นเกิดUpsetConditionมีความเสี่ยงคำสั่งTRIPCT-Sทำงาน,"FORoutinechecksheet found CT-SNDE signal cable thermally damaged SteamSSTurbine damaged signal line has a command line TRIPCT-S i.e. VYE-SB is a measurement signal TURBINERADIALVIBRATIONHIGHTRIPCT-S The trip command is used to vote the signal line. VYE-SB Monitor is corrupted, causing BM to use the measured value of the signal line. See ConditionTurbine returns to monitor performance reduced by % to %. Trip command runs while UpsetCondition is at risk, TRIPCT-S command runs."
ข้อต่อlinedrainหลุดน้ำไหลเป็นทาง,The linedrain joint slipped out of the water flowing in a way.,Olefins2,MOC (OPE),Near Miss,Process & Operation,ข้อต่อlinedrainหลุดน้ำไหลเป็นทาง,The linedrain joint slipped out of the water flowing in a way.
จุดน้ำมันล้นlinedrainแจ้งOperationจัดเก็บคราบน้ำมัน,Oil overflow point linedrain notify Operation to store oil stains,Olefins2,MOC (OPE),Near Miss,Chemical Work,จุดน้ำมันล้นlinedrainแจ้งOperationจัดเก็บคราบน้ำมัน,Oil overflow point linedrain notify Operation to store oil stains
พบมีน้ำขังมีตะไคร่น้ำจุดเป็นจุดทำงานทำให้เกิดอุบัติเหตุ,Found that there was stagnant water and moss at the point of work causing an accident.,Olefins2,MOC (OPE),Near Miss,Others,พบมีน้ำขังมีตะไคร่น้ำจุดเป็นจุดทำงานทำให้เกิดอุบัติเหตุ,Found that there was stagnant water and moss at the point of work causing an accident.
LogSheetพบเห็นLG-SZ-STankChemicalsLeakติดไฟทำให้เกิดการลุกไหม้,LogSheet found the LG-SZ-STankChemicalsLeak ignited causing a fire.,Olefins2,MOC (OPE),Near Miss,Process & Operation,LogSheetพบเห็นLG-SZ-STankChemicalsLeakติดไฟทำให้เกิดการลุกไหม้,LogSheet found the LG-SZ-STankChemicalsLeak ignited causing a fire.
สายไฟฟ้าบาดPlatformSafetyValveT-Sมีลักษณะพาดผ่านPipelineBeamปลายสายไฟฉนวนมีลักษณะสึกชำรุดทำให้มองเห็นตัวนำไฟฟ้ามีความเสี่ยงตัวนำสายไฟไปสัมผัสPipelineBeamเป็นตัวนำไฟฟ้าเกิดอันตรายผู้ปฏิบัติงานPlant,Electrical wire cuts. PlatformSafetyValveT-S is crossed over the PipelineBeam. The insulated wire end is worn out. The conductor is visible. There is a risk of the conductor coming in contact with the PipelineBeam. It is a dangerous conductor. Plant operator.,Olefins2,MOC (OPE),Near Miss,Electrical & Grounding,สายไฟฟ้าบาดPlatformSafetyValveT-Sมีลักษณะพาดผ่านPipelineBeamปลายสายไฟฉนวนมีลักษณะสึกชำรุดทำให้มองเห็นตัวนำไฟฟ้ามีความเสี่ยงตัวนำสายไฟไปสัมผัสPipelineBeamเป็นตัวนำไฟฟ้าเกิดอันตรายผู้ปฏิบัติงานPlant,Electrical wire cuts. PlatformSafetyValveT-S is crossed over the PipelineBeam. The insulated wire end is worn out. The conductor is visible. There is a risk of the conductor coming in contact with the PipelineBeam. It is a dangerous conductor. Plant operator.
บริเวณPipeRackTie-inUมีท่อน้ำLineTWรั่วSafetyFoทำการปีนบันไดขึ่นไปดูจุดรั้วไหลท่อน้ำเมือปีนยืนGratingPipeRackชั้นเมตรพอเกิดการยุบตัวGratingยืนทำตกใจเมือสังเกตุดูพบGratingหลุดSupportPipeRackมือเสือตัวยึดGratingจับยึดสภาพหลวม,"Area PipeRackTie-inU there is a leaking water pipe LineTWSafetyFo climbed the stairs to see the fence flowing water pipe when climbing the meter floor GratingPipeRack when it collapsed Grating stood shocked when he noticed that the Grating was loose SupportPipeRack Tiger hand Grating fixing, loose grip",UT,MOC (OPE),Near Miss,Process & Operation,บริเวณPipeRackTie-inUมีท่อน้ำLineTWรั่วSafetyFoทำการปีนบันไดขึ่นไปดูจุดรั้วไหลท่อน้ำเมือปีนยืนGratingPipeRackชั้นเมตรพอเกิดการยุบตัวGratingยืนทำตกใจเมือสังเกตุดูพบGratingหลุดSupportPipeRackมือเสือตัวยึดGratingจับยึดสภาพหลวม,"Area PipeRackTie-inU there is a leaking water pipe LineTWSafetyFo climbed the stairs to see the fence flowing water pipe when climbing the meter floor GratingPipeRack when it collapsed Grating stood shocked when he noticed that the Grating was loose SupportPipeRack Tiger hand Grating fixing, loose grip"
รถเฉี่ยวชนลานจอดรถ,Car crashes into parking lot,OSBL,nan,Near Miss,Others,รถเฉี่ยวชนลานจอดรถ,Car crashes into parking lot
